Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2021-03-27,13,AIX-EN-PROVENCE,0.01,Malveillance,1310
Foret,2021-03-27,48,VIALAS,0.12,Travaux (Particuliers),1312
Foret,2021-03-27,13,AIX-EN-PROVENCE,0.05,Depot d'Ordures,1313
Foret,2021-03-27,13,AIX-EN-PROVENCE,0.002,Malveillance,1316
Foret,2021-03-28,48,SAINT-GERMAIN-DE-CALBERTE,0.007,Travaux (Particuliers),1318
Foret,2021-03-28,48,ALTIER,3.0,Travaux Agricoles,1320
Foret,2021-03-28,4,MEOLANS-REVEL,0.1,Travaux (Particuliers),1321
Foret,2021-03-28,13,MOURIES,0.1,Interet,1323
Foret,2021-03-28,2A,SARROLA-CARCOPINO,0.01,Travaux (Particuliers),1324
Foret,2021-03-28,2A,RENNO,1.0925,Travaux Agricoles,1327
Foret,2021-03-29,48,PONT-DE-MONTVERT (LE),0.1,Travaux (Particuliers),1328
Foret,2021-03-29,34,VILLEVEYRAC,22.1628,Travaux Agricoles,1330
Foret,2021-03-29,83,FIGANIERES,0.15,Travaux Forestiers,1331
Foret,2021-03-29,48,PIED-DE-BORNE,0.06,Travaux Agricoles,1333
Foret,2021-03-29,34,CABRIERES,1.6956,Travaux Forestiers,1334
Foret,2021-03-29,66,ENVEITG,0.3,Travaux Industriels/Publics,1335
Foret,2021-03-29,83,CAMPS-LA-SOURCE,0.15,Travaux (Particuliers),1336
Foret,2021-03-29,66,FONT-ROMEU-ODEILLO-VIA,0.3,Malveillance,1337
Foret,2021-03-29,7,SAINT-MARTIAL,4.0,Travaux (Particuliers),1338
Foret,2021-03-29,34,SAINT-JEAN-DE-LA-BLAQUIERE,0.0977,Malveillance,1340
Foret,2021-03-30,6,BREIL-SUR-ROYA,0.2,Travaux (Particuliers),1342
Foret,2021-03-30,83,TOULON,0.05,Travaux (Particuliers),1343
Foret,2021-03-30,6,BEZAUDUN-LES-ALPES,1.0,Travaux (Particuliers),1344
Foret,2021-03-30,7,SAINT-PRIEST,2.0,Travaux Agricoles,1346
Foret,2021-03-30,6,SAINT-JEANNET,0.1,Travaux (Particuliers),1347
Foret,2021-03-30,7,MONTPEZAT-SOUS-BAUZON,0.5,Travaux Agricoles,1349
Foret,2021-03-30,34,FONTES,0.2069,Travaux Forestiers,1351
Foret,2021-03-30,5,BREZIERS,1.12,Interet,1356
Foret,2021-03-30,34,SAINT-PRIVAT,0.6678,Travaux Agricoles,1359
Foret,2021-03-30,6,CASTAGNIERS,0.1,Conflit,1362
Foret,2021-03-30,83,MAYONS (LES),0.002,Jet D'Objets Incandescents,1363
Foret,2021-03-31,2B,VOLPAJOLA,48.9,Malveillance,1365
Foret,2021-03-31,6,CIPIERES,0.02,Travaux (Particuliers),1366
Foret,2021-03-31,48,SAINT-MICHEL-DE-DEZE,4.12,Travaux (Particuliers),1367
Foret,2021-03-31,13,TRETS,0.1,Travaux Industriels/Publics,1368
Foret,2021-03-31,7,BERZEME,1.5,Travaux Agricoles,1369
Foret,2021-03-31,4,SAINT-PONS,0.005,Travaux Industriels/Publics,1370
Foret,2021-03-31,2B,VOLPAJOLA,48.9,Malveillance,1372
Foret,2021-03-31,6,CIPIERES,0.02,Travaux (Particuliers),1373
Foret,2021-03-31,48,SAINT-MICHEL-DE-DEZE,4.12,Travaux (Particuliers),1374
Foret,2021-03-31,13,TRETS,0.1,Travaux Industriels/Publics,1375
Foret,2021-03-31,7,BERZEME,1.5,Travaux Agricoles,1376
Foret,2021-03-31,4,SAINT-PONS,0.005,Travaux Industriels/Publics,1377
Foret,2021-04-01,30,SAINT-SAUVEUR-CAMPRIEU,4.9694,Travaux Agricoles,1379
Foret,2021-04-01,7,SAINT-JOSEPH-DES-BANCS,5.7,Travaux Agricoles,1380
Foret,2021-04-01,7,CROS-DE-GEORAND,0.8,Travaux (Particuliers),1384
Foret,2021-04-01,5,GAP,0.31,Travaux (Particuliers),1386
Foret,2021-04-01,6,SAINT-AUBAN,0.8,Malveillance,1387
Foret,2021-04-01,48,BORN (LE),1.0,Travaux Agricoles,1388
Foret,2021-04-01,13,TARASCON,0.05,Travaux (Particuliers),1389
Foret,2021-04-01,5,ASPREMONT,0.33,Jet D'Objets Incandescents,1390
Foret,2021-04-01,48,ISPAGNAC,6.26,Travaux Agricoles,1391
Foret,2021-04-02,34,CRUZY,1.4798,Travaux (Particuliers),1395
Foret,2021-04-02,83,FLASSANS-SUR-ISSOLE,0.06,Travaux Forestiers,1396
Foret,2021-04-02,4,SAUMANE,0.29,Travaux (Particuliers),1397
Foret,2021-04-02,7,SAINT-CIRGUES-EN-MONTAGNE,1.5,Travaux Agricoles,1398
Foret,2021-04-02,7,BANNE,1.0,Travaux (Particuliers),1399
Foret,2021-04-02,2A,PALNECA,0.07,Travaux (Particuliers),1400
Foret,2021-04-02,48,SAINT-LEGER-DE-PEYRE,7.5,Travaux Agricoles,1402
Foret,2021-04-03,83,SAINT-ZACHARIE,0.0002,Jet D'Objets Incandescents,1406
Foret,2021-04-03,83,COTIGNAC,0.1,Malveillance,1408
Foret,2021-04-03,7,ISSAMOULENC,0.25,Travaux Agricoles,1409
Foret,2021-04-03,34,BALARUC-LE-VIEUX,1.2812,Loisirs (Particuliers),1410
Foret,2021-04-03,34,VILLEVEYRAC,0.5977,Travaux Agricoles,1412
Foret,2021-04-03,13,PEYNIER,0.01,Travaux Industriels/Publics,1414
Foret,2021-04-04,7,SAINT-CIRGUES-DE-PRADES,0.1,Travaux (Particuliers),1419
Foret,2021-04-04,7,DESAIGNES,0.5,Travaux (Particuliers),1420
Foret,2021-04-04,26,PUY-SAINT-MARTIN,2.0,Malveillance,1421
Foret,2021-04-04,34,COURNIOU,0.0322,Travaux Agricoles,1422
Foret,2021-04-05,66,CASTELNOU,0.2,Vehicules,1423
Foret,2021-04-05,13,PEYPIN,0.002,Travaux (Particuliers),1425
Foret,2021-04-05,34,SAINT-PONS-DE-MAUCHIENS,2.884,Travaux Agricoles,1427
Foret,2021-04-06,66,ESPIRA-DE-L'AGLY,10.0,Malveillance,1435
Foret,2021-04-06,13,CIOTAT (LA),0.02,Travaux (Particuliers),1437
Foret,2021-04-06,2A,SOTTA,0.03,Travaux (Particuliers),1438
Foret,2021-04-06,83,BRAS,2.0,Malveillance,1441
